,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b
79,79,55,2.5,1200,304,0,338874.0147,0,445952.8843,445952.8843,10.013962560654967,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
80,80,60,2.5,1200,304,0,338874.0147,0,511939.5326,511939.5326,11.481039766094547,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
81,81,20,2.5,1200,364,0,330734.1156,0,-30077.8372,-30077.8372,0.0,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
82,82,25,2.5,1200,364,0,330734.1156,0,40275.4748,40275.4748,1.0307095356664084,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
83,83,30,2.5,1200,364,0,330734.1156,0,107349.0559,107349.0559,2.4977867411059886,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
84,84,35,2.5,1200,364,0,330734.1156,0,173696.7092,173696.7092,3.9648639465455706,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
85,85,40,2.5,1200,364,0,330734.1156,0,239749.2666,239749.2666,5.431941151985153,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
86,86,45,2.5,1200,364,0,330734.1156,0,305801.824,305801.824,6.899018357424735,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
87,87,50,2.5,1200,364,0,330734.1156,0,371826.337,371826.337,8.366095562864311,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
88,88,55,2.5,1200,364,0,330734.1156,0,437812.9853,437812.9853,9.833172768303898,316409.8722,0,680003.4322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,8.3876,8.3876,3.9028,1.8733
