,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
107,107,40,0,0.555,1,0,1,0,0,1,0,1,0,0,23.515845285842534,0,20013.9982,0,0,0,2.3434409346608353e-09,36067.0361,0,6131.9393,0.0,1.5694004420125005,1.5694004420125005
108,108,40,0,0.555,1,0,1,0,0,1,0,0,1,1,22.679180194260137,0,42346.8967,0,0,0,0.0,70981.1418,0,9551.674,0.0,3.1421622762125008,3.1421622762125008
109,109,40,0,0.555,1,0,1,0,0,1,0,0,1,0,23.111033756741953,0,29951.4237,0,0,0,0.0,52189.945,0,7907.1841,0.0,2.2981932997250003,2.2981932997250003
110,110,40,0,0.555,1,0,1,0,0,1,0,0,0,1,22.72608501990842,0,27846.7844,0,0,0,0.0,46858.8247,0,6352.7745,0.0,2.0698160416999998,2.0698160416999998
111,111,40,0,0.555,1,0,1,0,0,1,0,0,0,0,23.5788450582001,0,15451.3114,0,0,0,3.558989485610018e-09,28067.6278,0,4708.2847,0.0,1.2258470652125002,1.2258470652125002
112,112,40,0,0.555,1,0,1,0,0,0,1,1,1,1,22.770632702858748,0,52276.6938,0,0,0,1.4105845643928516e-10,87113.311,0,14088.5505,0.0,3.874084139750001,3.874084139750001
113,113,40,0,0.555,1,0,1,0,0,0,1,1,1,0,23.12168477805437,0,39881.2208,0,0,0,0.0,68322.1142,0,12444.0606,0.0,3.030115163262499,3.030115163262499
114,114,40,0,0.555,1,0,1,0,0,0,1,1,0,1,22.839941044770956,0,37776.5815,0,0,0,0.0,62990.9938,0,10889.651,0.0,2.8017379052375,2.8017379052375
115,115,40,0,0.555,1,0,1,0,0,0,1,1,0,0,23.41543864243664,0,25381.1085,0,0,0,0.0,44199.797,0,9245.1612,0.0,1.9577689287499997,1.9577689287499997
116,116,40,0,0.555,1,0,1,0,0,0,1,0,1,1,22.718894690524124,0,47714.0069,0,0,0,5.937637970051327e-11,79113.9027,0,12664.8958,0.0,3.5305307629500007,3.5305307629500007
117,117,40,0,0.555,1,0,1,0,0,0,1,0,1,0,23.098740465165726,0,35318.5339,0,0,0,2.867312294246076e-10,60322.7058,0,11020.406,0.0,2.6865617864625007,2.6865617864625007
118,118,40,0,0.555,1,0,1,0,0,0,1,0,0,1,22.775442385022668,0,33213.8946,0,0,0,0.0,54991.5855,0,9465.9964,0.0,2.4581845284375,2.4581845284375
119,119,40,0,0.555,1,0,1,0,0,0,1,0,0,0,23.440833796373774,0,20818.4216,0,0,0,0.0,36200.3887,0,7821.5066,0.0,1.6142155519500005,1.6142155519500005
